"Prov","Comu","Dist","CodScuola","ScAssiciataA","Indirizzo","ScPrincipaleCon"
"FROSINONE","TREVI NEL LAZIO","035","FRAA80703V","FRIC80700X","CAPOLUOGO",""
"FROSINONE","ACUTO","050","FRAA83602T","FRIC83600X","VIA G. GERMINI LOC. CAPOLUOGO",""
"FROSINONE","ANAGNI","050","FRAA84401Q","FRIC84400V","VIA REGINA MARGHERITA LOC. CAPOLUOGO VIA R. MARG",""
"FROSINONE","ANAGNI","050","FRAA84502L","FRIC84500P","VIA MADONNA DI TUFANO",""
"FROSINONE","ANAGNI","050","FRAA84501G","FRIC84500P","VIA FOSSO DEL LUPO",""
"FROSINONE","ANAGNI","050","FRAA84402R","FRIC84400V","CONTRADA S. FILIPPO",""
"FROSINONE","ANAGNI","050","FRAA84404V","FRIC84400V","CONTRADA COLLE S. BARTOLOMEO",""
"FROSINONE","ANAGNI","050","FRAA84403T","FRIC84400V","CONTRADA S. CESAREO",""
"FROSINONE","ANAGNI","050","FRAA84503N","FRIC84500P","VIA S. GIORGETTO",""
"FROSINONE","ANAGNI","050","FRAA84400P","FRIC84400V","VIALE REGINA MARGHERITA 17 ANAGNI",""
"FROSINONE","ANAGNI","050","FRAA84500E","FRIC84500P","VIA SAN GIORGETTO ANAGNI",""
"FROSINONE","FIUGGI","050","FRAA83601R","FRIC83600X","VIA VAL MADONNA",""
"FROSINONE","FIUGGI","050","FRAA83600Q","FRIC83600X","VIA VAL MADONNA 14 FIUGGI",""
"FROSINONE","PALIANO","050","FRAA827001","FRIC827005","VIA FRATELLI BEGUINOT 30/A PALIANO",""
"FROSINONE","PALIANO","050","FRAA827034","FRIC827005","VIA PIANO DEI COLLI PALIANO",""
"FROSINONE","PIGLIO","050","FRAA80700Q","FRIC80700X","VIA PIAGGE PIGLIO",""
"FROSINONE","PIGLIO","050","FRAA80701R","FRIC80700X","LOC CAPOLUOGO",""
"FROSINONE","PIGLIO","050","FRAA80702T","FRIC80700X","",""
"FROSINONE","SERRONE","050","FRAA80600X","FRIC806004","VIA MONTE SCALAMBRA SNC SERRONE",""
"FROSINONE","SERRONE","050","FRAA806011","FRIC806004","VIA MONTE SCALAMBRA SERRONE",""
"FROSINONE","SGURGOLA","050","FRAA841007","FRIC84100B","VIA DUE GIUGNO N. 22",""
"FROSINONE","SGURGOLA","050","FRAA841018","FRIC84100B","VIA VALLE DELLA SCUOLA LOC. SCALO",""
"FROSINONE","ALATRI","051","FRAA83701L","FRIC83700Q","VIA DEL CALASANZIO 5 LOC. CAPOLUOGO",""
"FROSINONE","ALATRI","051","FRAA83801C","FRIC83800G","VIA DELLE CINQUE STRADE COLLELAVENA",""
"FROSINONE","ALATRI","051","FRAA83804G","FRIC83800G","VIA VALLE FIURA",""
"FROSINONE","ALATRI","051","FRAA83802D","FRIC83800G","VIA MONTE S. GREGORIO FONTANASCURANO",""
"FROSINONE","ALATRI","051","FRAA80803P","FRIC80800Q","VIA MOLE BISLETI SNC ALATRI",""
"FROSINONE","ALATRI","051","FRAA83702N","FRIC83700Q","VIA VALLE SAN MATTEO LOC. MONTE S. MARINO",""
"FROSINONE","ALATRI","051","FRAA83803E","FRIC83800G","LOC. S. EMIDIO S. EMIDIO",""
"FROSINONE","ALATRI","051","FRAA80800G","FRIC80800Q","VIA DANIMARCA1 ALATRI - TECCHIENA",""
"FROSINONE","ALATRI","051","FRAA83700G","FRIC83700Q","VIA DEL CALASANZIO 7 ALATRI",""
"FROSINONE","ALATRI","051","FRAA83800B","FRIC83800G","VIA MADONNA DELLA SANITA' 5/A ALATRI",""
"FROSINONE","ALATRI","051","FRAA83703P","FRIC83700Q","VIA MADONNA DELLA SANITA' 5/A ALATRI",""
"FROSINONE","ALATRI","051","FRAA80805R","FRIC80800Q","VIA ITALIA S. N. C ALATRI",""
"FROSINONE","COLLEPARDO","051","FRAA80407G","FRIC80400C","VIA D'ALATRI COLLEPARDO",""
"FROSINONE","GUARCINO","051","FRAA804019","FRIC80400C","VIA SS. ANNUNZIATA GUARCINO",""
"FROSINONE","GUARCINO","051","FRAA804008","FRIC80400C","VIA S. FRANCESCO N. 9 GUARCINO",""
"FROSINONE","TORRE CAJETANI","051","FRAA80404C","FRIC80400C","VIA CIRCONVALLAZIONE CERANO TORRE CAJETANI",""
"FROSINONE","TRIVIGLIANO","051","FRAA80402A","FRIC80400C","VIA DELLO SPRECO TRIVIGLIANO",""
"FROSINONE","VICO NEL LAZIO","051","FRAA80406E","FRIC80400C","VIA DEL PLEBISCITO VICO NEL LAZIO",""
"FROSINONE","VICO NEL LAZIO","051","FRAA80403B","FRIC80400C","CONTRADA VICO PITOCCO VICO NEL LAZIO",""
"FROSINONE","FERENTINO","052","FRAA83903A","FRIC83900B","VIA CARTIERA QUARTO FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA839018","FRIC83900B","VIA CIRCONVALLAZIONE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83904B","FRIC83900B","VIA CASILINA SUD FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84002D","FRIC84000G","VIA TORRENOVERANA FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84001C","FRIC84000G","VIA BELVEDERE- S. AGATA SNC FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84003E","FRIC84000G","VIA STAZIONE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83906D","FRIC83900B","VIA SAN ROCCO TERRAVALLE FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA839007","FRIC83900B","VIA CIRCONVALLAZIONE LOLLI GHETTI FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA84000B","FRIC84000G","VIA ALFONSO BARTOLI FERENTINO",""
"FROSINONE","FERENTINO","052","FRAA83905C","FRIC83900B","VIA POZZILLO SNC FERENTINO",""
"FROSINONE","FUMONE","052","FRAA83907E","FRIC83900B","VIA VICINALE POZZI FUMONE",""
"FROSINONE","MOROLO","052","FRAA841029","FRIC84100B","VIA CERQUOTTI MOROLO",""
"FROSINONE","SUPINO","052","FRAA83000R","FRIC830001","VIA DE' NOTARI SNC SUPINO",""
"FROSINONE","SUPINO","052","FRAA83001T","FRIC830001","VIA DEI NOTARI SUPINO",""
"FROSINONE","ARNARA","053","FRAA842069","FRIC842007","VIA GORNJA BISTRA ARNARA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA828041","FRIC828001","VIA TORRIONE DEI NOBILI BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82801T","FRIC828001","VIA SANTA LIBERATA BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82802V","FRIC828001","VIA SAN LUCIO BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82803X","FRIC828001","VIA VALLE ARIANA BOVILLE ERNICA",""
"FROSINONE","BOVILLE ERNICA","053","FRAA82800R","FRIC828001","VIA TORRIONE DEI NOBILI 2 BOVILLE ERNICA",""
"FROSINONE","FROSINONE","053","FRAA85900C","FRIC85900L","VIA MASTRUCCIA 35 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847039","FRIC84700A","VIA ROSSINI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86004R","FRIC86000R","VIA FOSSE ARDEATINE26",""
"FROSINONE","FROSINONE","053","FRAA847028","FRIC84700A","VIA LICINIO REFICE FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86006V","FRIC86000R","VIA MADONNA DELLANEVE",""
"FROSINONE","FROSINONE","053","FRAA84604E","FRIC84600E","VIA TOMMASO LANDOLFI",""
"FROSINONE","FROSINONE","053","FRAA86005T","FRIC86000R","VIA FONTE CORINA20",""
"FROSINONE","FROSINONE","053","FRAA84704A","FRIC84700A","VIA GAETA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86003Q","FRIC86000R","VIA AMERICA LATINA105",""
"FROSINONE","FROSINONE","053","FRAA84605G","FRIC84600E","VIA MARITTIMA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA84602C","FRIC84600E","VIA ARNO FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847017","FRIC84700A","VIA VERDI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86002P","FRIC86000R","VIALE MATTEOTTI FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA847006","FRIC84700A","VIA GIACOMO PUCCINI SNC FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA84600A","FRIC84600E","VIA TEVERE 72 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA86000L","FRIC86000R","VIA FOSSE ARDEATINE 14 FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA85901D","FRIC85900L","VIA MASTRUCCIA FROSINONE",""
"FROSINONE","FROSINONE","053","FRAA85902E","FRIC85900L","VIA FERRARELLI FROSINONE",""
"FROSINONE","RIPI","053","FRAA81100B","FRIC81100G","PIAZZA G. BACCELLI 1 RIPI",""
"FROSINONE","RIPI","053","FRAA81101C","FRIC81100G","CESARANO CASA DEL MEDICO",""
"FROSINONE","RIPI","053","FRAA81102D","FRIC81100G","VIA VARROCCIA S. GIOVANNI",""
"FROSINONE","TORRICE","053","FRAA81103E","FRIC81100G","VIA S. MOSE' TORRICE",""
"FROSINONE","VEROLI","053","FRAA848002","FRIC848006","VIA I LUCI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86100C","FRIC86100L","PIAZZA GIUSEPPE TRULLI 8 VEROLI",""
"FROSINONE","VEROLI","053","FRAA86102E","FRIC86100L","VIA MADONNA DEGLI ANGELI",""
"FROSINONE","VEROLI","053","FRAA86101D","FRIC86100L","PASS. TA SAN GIUSEPPE VEROLI",""
"FROSINONE","VEROLI","053","FRAA848046","FRIC848006","VIA CASINO SPANI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86104L","FRIC86100L","VIA COLLE BERARDI VEROLI",""
"FROSINONE","VEROLI","053","FRAA848035","FRIC848006","VIA COLLECIAFFONE VEROLI",""
"FROSINONE","VEROLI","053","FRAA848013","FRIC848006","VIA COTROPAGNO VEROLI",""
"FROSINONE","VEROLI","053","FRAA86103G","FRIC86100L","VIA CROCIFISSO",""
"FROSINONE","VEROLI","053","FRAA848024","FRIC848006","VIA I LUCI VEROLI",""
"FROSINONE","VEROLI","053","FRAA86105N","FRIC86100L","VIA SCIFELLI",""
"FROSINONE","AMASENO","054","FRAA812018","FRIC81200B","VIALE UMBERTO I LOC CAPOLUOGO",""
"FROSINONE","AMASENO","054","FRAA812007","FRIC81200B","VIA PRATI SNC AMASENO",""
"FROSINONE","CASTRO DEI VOLSCI","054","FRAA81400V","FRIC814003","VIA FRASSO SNC CASTRO DEI VOLSCI",""
"FROSINONE","CASTRO DEI VOLSCI","054","FRAA81401X","FRIC814003","VIA ANTONINO CARNEVALE MADONNA DEL PIANO",""
"FROSINONE","CECCANO","054","FRAA842014","FRIC842007","",""
"FROSINONE","CECCANO","054","FRAA85802P","FRIC85800R","B. GO BERARDI CECCANO",""
"FROSINONE","CECCANO","054","FRAA842025","FRIC842007","",""
"FROSINONE","CECCANO","054","FRAA85803Q","FRIC85800R","VIA SAN FRANCESCO CECCANO",""
"FROSINONE","CECCANO","054","FRAA85801N","FRIC85800R","VIA DEL CARDINALE CECCANO",""
"FROSINONE","CECCANO","054","FRAA842036","FRIC842007","",""
"FROSINONE","CECCANO","054","FRAA842047","FRIC842007","",""
"FROSINONE","CECCANO","054","FRAA842003","FRIC842007","VIA GIACOMO MATTEOTTI CECCANO",""
"FROSINONE","CECCANO","054","FRAA85800L","FRIC85800R","VIA GAETA 123 CECCANO",""
"FROSINONE","GIULIANO DI ROMA","054","FRAA813025","FRIC813007","VIA XXIII MAGGIO N 21 GIULIANO DI ROMA",""
"FROSINONE","GIULIANO DI ROMA","054","FRAA813003","FRIC813007","VIA XXIII MAGGIO N. 19 GIULIANO DI ROMA",""
"FROSINONE","PATRICA","054","FRAA830041","FRIC830001","VIA VARRACCANI PATRICA",""
"FROSINONE","PATRICA","054","FRAA83003X","FRIC830001","VIA QUATTRO STRADE PATRICA",""
"FROSINONE","VILLA SANTO STEFANO","054","FRAA813014","FRIC813007","VIALE G. MARCONI VILLA S. STEFANO",""
"FROSINONE","VALLECORSA","054","FRAA814021","FRIC814003","VIA LAURETTI LOC. CAPOLUOGO",""
"FROSINONE","CEPRANO","055","FRAA83105T","FRIC83100R","VIA CORNETE CEPRANO",""
"FROSINONE","CEPRANO","055","FRAA83104R","FRIC83100R","VIA COLLETASSETANO CEPRANO",""
"FROSINONE","CEPRANO","055","FRAA83102P","FRIC83100R","VIA MUTO CEPRANO",""
"FROSINONE","CEPRANO","055","FRAA83101N","FRIC83100R","LOCALITA' CHIUSAGRANDE CEPRANO",""
"FROSINONE","CEPRANO","055","FRAA83100L","FRIC83100R","VIA VITTORIO ALFIERI 78 CEPRANO",""
"FROSINONE","PASTENA","055","FRAA81503T","FRIC81500V","CAPOLUOGO",""
"FROSINONE","POFI","055","FRAA80100R","FRIC801001","VIA MONS. LUCA CAPOZI 16 POFI",""
"FROSINONE","POFI","055","FRAA80101T","FRIC801001","VIA S. GIORGIO",""
"FROSINONE","SAN GIOVANNI INCARICO","055","FRAA85204T","FRIC85200T","LOC CAPOLUOGO",""
"FROSINONE","SAN GIOVANNI INCARICO","055","FRAA85203R","FRIC85200T","VIA CIVITA FARNESE SAN GIOVANNI INCARICO",""
"FROSINONE","STRANGOLAGALLI","055","FRAA80103X","FRIC801001","VIA CESE N. 8 STRANGOLAGALLI",""
"FROSINONE","ARCE","056","FRAA81600E","FRIC81600P","VIA GUGLIELMO MARCONI S. N. C. ARCE",""
"FROSINONE","ARCE","056","FRAA81601G","FRIC81600P","VIA MAGNI ARCE",""
"FROSINONE","ARCE","056","FRAA81605Q","FRIC81600P","VIA S. GIUSTA ISOLETTA",""
"FROSINONE","ARPINO","056","FRAA82901N","FRIC82900R","LOC. PANACCIO ARPINO",""
"FROSINONE","ARPINO","056","FRAA82902P","FRIC82900R","LOC. COLLEMAGNAVINO ARPINO",""
"FROSINONE","ARPINO","056","FRAA82904R","FRIC82900R","VIA PAGNANELLI ARPINO",""
"FROSINONE","ARPINO","056","FRAA82903Q","FRIC82900R","LOC. SAN SOSIO ARPINO",""
"FROSINONE","ARPINO","056","FRAA82900L","FRIC82900R","VIA VITTORIA COLONNA ARPINO",""
"FROSINONE","BROCCOSTELLA","056","FRAA81700A","FRIC81700E","VIA DELLA VANDRA 627 BROCCOSTELLA",""
"FROSINONE","BROCCOSTELLA","056","FRAA81701B","FRIC81700E","VIA DON G. MINZONI BROCCOSTELLA",""
"FROSINONE","CAMPOLI APPENNINO","056","FRAA81702C","FRIC81700E","VIA S. GASPARE DEL BUFALO CAMPOLI APPENNINO",""
"FROSINONE","CASTELLIRI","056","FRAA83201D","FRIC83200L","VIA SANTO STEFANO N. 7 LOC. CAPOLUOGO",""
"FROSINONE","CASTELLIRI","056","FRAA83202E","FRIC83200L","VIA S. MARIA SALOME 12 CASTELLIRI",""
"FROSINONE","COLFELICE","056","FRAA81603N","FRIC81600P","VIA CAMPO GRANDE COLFELICE",""
"FROSINONE","COLFELICE","056","FRAA81602L","FRIC81600P","VIA VILLAFELICE VILLAFELICE",""
"FROSINONE","FONTANA LIRI","056","FRAA82905T","FRIC82900R","VIA XXIV MAGGIO FONTANA LIRI",""
"FROSINONE","FONTECHIARI","056","FRAA819024","FRIC819006","VIA SANTA MARIA 6 FONTECHIARI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83206P","FRIC83200L","ZONA S. CARLO ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83207Q","FRIC83200L","VIA CAPITINO ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83209T","FRIC83200L","VIA CARNELLO ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83204L","FRIC83200L","VIA FORLI ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83208R","FRIC83200L","VIA VALCATOIO ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83200C","FRIC83200L","VIA CARNELLO 38 ISOLA DEL LIRI",""
"FROSINONE","ISOLA DEL LIRI","056","FRAA83210X","FRIC83200L","LOC. STAZIONE ISOLA DEL LIRI",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA83500X","FRIC835004","VIA POZZO SAN PAOLO MONTE SAN GIOVANNI CAMPANO",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA833008","FRIC83300C","VIA COLLE S. MARCO MONTE SAN GIOVANNI CAMPANO",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA83302A","FRIC83300C","VIA CARBONARO",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA835022","FRIC835004","VIA S. FILOMENA COLLI",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA835011","FRIC835004","VIA ANITRELLA ANITRELLA",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA835033","FRIC835004","VIA CHIAIAMARI CHIAIAMARI",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA83303B","FRIC83300C","VIA LUCCA LUCCA",""
"FROSINONE","MONTE SAN GIOVANNI CAMPANO","056","FRAA835044","FRIC835004","VIA POZZO SAN PAOLO MONTE SAN GIOVANNI CAMPANO",""
"FROSINONE","PESCOSOLIDO","056","FRAA81704E","FRIC81700E","CONTRADA FORCELLA PESCOSOLIDO",""
"FROSINONE","POSTA FIBRENO","056","FRAA81703D","FRIC81700E","VIA CASALVITTORIA 3 POSTA FIBRENO",""
"FROSINONE","ROCCADARCE","056","FRAA81604P","FRIC81600P","VIA CANALE ROCCA D ARCE",""
"FROSINONE","SANTOPADRE","056","FRAA82906V","FRIC82900R","VIALE 4 NOVEMBRE SANTOPADRE",""
"FROSINONE","SORA","056","FRAA85102X","FRIC851002","VIA GIUSEPPE DELLA MONICA SORA",""
"FROSINONE","SORA","056","FRAA850013","FRIC850006","VIA CHIESA NUOVA SORA",""
"FROSINONE","SORA","056","FRAA85101V","FRIC851002","VIA VALLERADICE SORA",""
"FROSINONE","SORA","056","FRAA84900T","FRIC849002","VIALE VINCENZO SIMONCELLI SORA",""
"FROSINONE","SORA","056","FRAA850002","FRIC850006","VIA GUGLIELMO MARCONI SORA",""
"FROSINONE","SORA","056","FRAA85100T","FRIC851002","VIA PIEMONTE N. 20 SORA",""
"FROSINONE","SORA","056","FRAA850035","FRIC850006","VIA SPINELLE SORA",""
"FROSINONE","SORA","056","FRAA850046","FRIC850006","VIA PISACANE SORA",""
"FROSINONE","SORA","056","FRAA850057","FRIC850006","PIAZZA M. TULLIO CICERONE SORA",""
"FROSINONE","SORA","056","FRAA849031","FRIC849002","VIA DANTE ALIGHIERI SORA",""
"FROSINONE","SORA","056","FRAA850068","FRIC850006","VIALE SAN DOMENICO SORA",""
"FROSINONE","VILLA LATINA","057","FRAA821013","FRIC821006","PARCO DELLERIMEMBRANZE LOC. CAPOLUOGO",""
"FROSINONE","ALVITO","057","FRAA820028","FRIC82000A","VIA RAMPA SAN NICOLA ALVITO",""
"FROSINONE","ALVITO","057","FRAA820006","FRIC82000A","VIA CASA GIAMOSCA 9 ALVITO",""
"FROSINONE","ATINA","057","FRAA821024","FRIC821006","VIA B. TAULERI ATINA",""
"FROSINONE","ATINA","057","FRAA821002","FRIC821006","VIA LIONE N. 95 ATINA",""
"FROSINONE","BELMONTE CASTELLO","057","FRAA821035","FRIC821006","VIA POZZI LOC. CAPOLUOGO",""
"FROSINONE","CASALVIERI","057","FRAA819035","FRIC819006","VIA ROSELLI ROSELLI",""
"FROSINONE","CASALVIERI","057","FRAA819002","FRIC819006","VIA COLLE SANTA MARIA SNC CASALVIERI",""
"FROSINONE","GALLINARO","057","FRAA818028","FRIC81800A","LOC. CAPOLUOGO/",""
"FROSINONE","PICINISCO","057","FRAA821068","FRIC821006","VIA MONATANO7 LOC. CAPOLUOGO/",""
"FROSINONE","SAN DONATO VAL DI COMINO","057","FRAA818006","FRIC81800A","VIA ROMA 91 SAN DONATO VAL DI COMINO",""
"FROSINONE","SAN DONATO VAL DI COMINO","057","FRAA818017","FRIC81800A","PIAZZA G. MARCONI LOC. CAPOLUOGO",""
"FROSINONE","SETTEFRATI","057","FRAA818039","FRIC81800A","VIA PIETRAFITTA LOC. PIETRAFITTA",""
"FROSINONE","VICALVI","057","FRAA820017","FRIC82000A","VIA DELICATA VICALVI",""
"FROSINONE","AQUINO","058","FRAA82301P","FRIC82300T","VIA A. MORO AQUINO",""
"FROSINONE","AQUINO","058","FRAA82303R","FRIC82300T","VIA MAZZAROPPI AQUINO",""
"FROSINONE","AQUINO","058","FRAA82300N","FRIC82300T","V. LE MANZONI SNC AQUINO",""
"FROSINONE","CASTROCIELO","058","FRAA82201V","FRIC822002","PIAZZA SAN ROCCO CAPOLUOGO CASTROCIELO",""
"FROSINONE","CASTROCIELO","058","FRAA82202X","FRIC822002","VIA LATINA CASTROCIELO",""
"FROSINONE","CASTROCIELO","058","FRAA82200T","FRIC822002","VIA MADONNA DI LORETO N. 25 CASTROCIELO",""
"FROSINONE","COLLE SAN MAGNO","058","FRAA834026","FRIC834008","CORSO GARIBALDI SNC COLLE SAN MAGNO",""
"FROSINONE","ESPERIA","058","FRAA80301D","FRIC80300L","VIA TROMBA DI ROSA BADIA",""
"FROSINONE","ESPERIA","058","FRAA80303G","FRIC80300L","VIA BRACCIO MONTICELLI",""
"FROSINONE","ESPERIA","058","FRAA80304L","FRIC80300L","VIA SAN ROCCO ESPERIA",""
"FROSINONE","ESPERIA","058","FRAA80300C","FRIC80300L","VIA SAN ROCCO 5 ESPERIA",""
"FROSINONE","PICO","058","FRAA81500P","FRIC81500V","VIA ANTONINO CARNEVALE 32 PICO",""
"FROSINONE","PICO","058","FRAA81501Q","FRIC81500V","VIA LIMATELLA 2 PICO",""
"FROSINONE","PONTECORVO","058","FRAA85300D","FRIC85300N","VIA SAN NICONE PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85200N","FRIC85200T","VIA ALDO MORO S. N. C. PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85303L","FRIC85300N","VIA MELFI DI SOTTO PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85301E","FRIC85300N","VIA XXIV MAGGIO PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85302G","FRIC85300N","VIA SALVO D'ACQUISTO PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85201P","FRIC85200T","PIAZZA ROMITA 5 PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85304N","FRIC85300N","VIA RAVANO PONTECORVO",""
"FROSINONE","PONTECORVO","058","FRAA85202Q","FRIC85200T","LOC. TORDONI PONTECORVO",""
"FROSINONE","ROCCASECCA","058","FRAA834004","FRIC834008","VIA PIAVE 9 ROCCASECCA",""
"FROSINONE","ROCCASECCA","058","FRAA834015","FRIC834008","VIA SEVERINO GAZZELLONI2 ROCCASECCA",""
"FROSINONE","ROCCASECCA","058","FRAA834037","FRIC834008","VIA LAZIO 1 ROCCASECCA",""
"FROSINONE","AUSONIA","059","FRAA82401E","FRIC82400N","VIA ORFANOTROFIO LOC CAPOMAZZA",""
"FROSINONE","AUSONIA","059","FRAA82400D","FRIC82400N","C. DA MARTINI AUSONIA",""
"FROSINONE","CASSINO","059","FRAA85402B","FRIC85400D","",""
"FROSINONE","CASSINO","059","FRAA855038","FRIC855009","RIONE COLOSSEO CASSINO",""
"FROSINONE","CASSINO","059","FRAA85505A","FRIC855009","CORSO TRIESTE CASSINO",""
"FROSINONE","CASSINO","059","FRAA85506B","FRIC855009","VIA DONIZETTI SNC CASSINO",""
"FROSINONE","CASSINO","059","FRAA856012","FRIC856005","VIA ARNO SNC CASSINO",""
"FROSINONE","CASSINO","059","FRAA85401A","FRIC85400D","VIA ZAMOSCH CASSINO",""
"FROSINONE","CASSINO","059","FRAA855005","FRIC855009","VIA SAN MARCO CASSINO",""
"FROSINONE","CASSINO","059","FRAA856001","FRIC856005","VIA BELLINI1 CASSINO",""
"FROSINONE","CASSINO","059","FRAA854009","FRIC85400D","VIA KARL HEROLD CASSINO",""
"FROSINONE","CASSINO","059","FRAA855027","FRIC855009","VIA SANTA LIBERA CASSINO",""
"FROSINONE","CASSINO","059","FRAA85507C","FRIC855009","VIA ALFIERI CASSINO",""
"FROSINONE","CASSINO","059","FRAA855049","FRIC855009","CASSINO",""
"FROSINONE","CASTELNUOVO PARANO","059","FRAA82402G","FRIC82400N","VIA VALLI LOC CAPOLUOGO",""
"FROSINONE","CERVARO","059","FRAA84301X","FRIC843003","LARGO VERDI CERVARO",""
"FROSINONE","CERVARO","059","FRAA843021","FRIC843003","VIA S. LUCIA CERVARO",""
"FROSINONE","CERVARO","059","FRAA843032","FRIC843003","VIA FORESTA CERVARO",""
"FROSINONE","CERVARO","059","FRAA843054","FRIC843003","VIA PASTENELLE CERVARO",""
"FROSINONE","CERVARO","059","FRAA843043","FRIC843003","VIA SPINA CERVARO",""
"FROSINONE","CERVARO","059","FRAA84300V","FRIC843003","CORSO DELLA REPUBBLICA CERVARO",""
"FROSINONE","CORENO AUSONIO","059","FRAA82403L","FRIC82400N","VIA T. TASSO LOC CAPOLUOGO",""
"FROSINONE","PIEDIMONTE SAN GERMANO","059","FRAA82507L","FRIC82500D","VIALE DECORATO PIEDIMONTE SAN GERMANO",""
"FROSINONE","PIEDIMONTE SAN GERMANO","059","FRAA825009","FRIC82500D","VIA MILAZZO 21 PIEDIMONTE SAN GERMANO",""
"FROSINONE","PIEDIMONTE SAN GERMANO","059","FRAA82502B","FRIC82500D","VIA MILAZZO",""
"FROSINONE","PIGNATARO INTERAMNA","059","FRAA826027","FRIC826009","VIA S. MARIA",""
"FROSINONE","SAN GIORGIO A LIRI","059","FRAA826005","FRIC826009","VIA GARIBALDI S. N. C. SAN GIORGIO A LIRI",""
"FROSINONE","SAN GIORGIO A LIRI","059","FRAA826016","FRIC826009","VIA GARIBALDI",""
"FROSINONE","SANT'AMBROGIO SUL GARIGLIANO","059","FRAA80205T","FRIC80200R","VIA ROMA SANT'AMBROGIO SUL G. NO",""
"FROSINONE","SANT'ANDREA DEL GARIGLIANO","059","FRAA80201N","FRIC80200R","VIA FONTANA 6 SAN'ANDREA DEL GARIGLIANO",""
"FROSINONE","SANT'APOLLINARE","059","FRAA80200L","FRIC80200R","VIA GIUSEPPE GARIBALDI 51 SANT'APOLLINARE",""
"FROSINONE","SANT'APOLLINARE","059","FRAA80203Q","FRIC80200R","CORSO MAZZINI SANT'APOLLINARE",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA85700R","FRIC857001","VIA DELLE TORRI SANT'ELIA FIUMERAPIDO",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA85701T","FRIC857001","VILLA COMUNALE LOC CAPOLUOGO",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA857052","FRIC857001","",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA857041","FRIC857001","CONTRADA OLIVELLA",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA85702V","FRIC857001","VIA COLLE IANNUCCI PORTELLA",""
"FROSINONE","SANT'ELIA FIUMERAPIDO","059","FRAA857085","FRIC857001","VIA VALLELUCE VALLELUCE",""
"FROSINONE","SAN VITTORE DEL LAZIO","059","FRAA843076","FRIC843003","VIA S. CESARIO SAN VITTORE DEL LAZIO",""
